Using prepared data.
Number of Model Parameters: 255603
DistributedDataParallel(
  (module): ConvCNP_LTO(
    (encoder): SetConvEncoder2D(
      (cnn): Sequential(
        (0): Conv2d(2, 48, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
        (1): ReLU()
        (2): Conv2d(48, 48, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
        (3): ReLU()
        (4): Conv2d(48, 24, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
      )
    )
    (operator): CNNLatentOperator(
      (conv_in): Conv2d(24, 96, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (conv_mid): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (conv_out): Conv2d(96, 24, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    )
    (decoder): ConvCNPDecoder2D(
      (mlp): Sequential(
        (0): Linear(in_features=24, out_features=192, bias=True)
        (1): ReLU()
        (2): Linear(in_features=192, out_features=192, bias=True)
        (3): ReLU()
        (4): Linear(in_features=192, out_features=1, bias=True)
      )
    )
  )
)
Start Training...
Epoch: 1	Learning Rate :3.467144177547992e-07	Train Loss: 1.1441879272460938	Val Loss: 0.7468350529670715
Epoch: 2	Learning Rate :1.0866141746533782e-06	Train Loss: 1.04047429561615	Val Loss: 0.526583731174469
Epoch: 3	Learning Rate :2.318969021920282e-06	Train Loss: 0.8827238082885742	Val Loss: 0.4758244752883911
Epoch: 4	Learning Rate :4.042562679093097e-06	Train Loss: 0.8543593287467957	Val Loss: 0.49449124932289124
Epoch: 5	Learning Rate :6.255694034437926e-06	Train Loss: 0.8420466780662537	Val Loss: 0.4735527038574219
Epoch: 6	Learning Rate :8.956178823873746e-06	Train Loss: 0.821194052696228	Val Loss: 0.4908488988876343
Epoch: 7	Learning Rate :1.2141351786744501e-05	Train Loss: 0.8102751970291138	Val Loss: 0.45577549934387207
Epoch: 8	Learning Rate :1.58080692963154e-05	Train Loss: 0.7989957928657532	Val Loss: 0.41370582580566406
Epoch: 9	Learning Rate :1.99527124623961e-05	Train Loss: 0.7681291699409485	Val Loss: 0.43554866313934326
Epoch: 10	Learning Rate :2.457119070302556e-05	Train Loss: 0.758155107498169	Val Loss: 0.4348756968975067
Epoch: 11	Learning Rate :2.9658945781700684e-05	Train Loss: 0.7346733212471008	Val Loss: 0.3873099684715271
Epoch: 12	Learning Rate :3.52109563061542e-05	Train Loss: 0.7220615148544312	Val Loss: 0.3910253047943115
Epoch: 13	Learning Rate :4.122174268425148e-05	Train Loss: 0.7096052765846252	Val Loss: 0.3888908922672272
Epoch: 14	Learning Rate :4.768537253210781e-05	Train Loss: 0.7038475871086121	Val Loss: 0.38431161642074585
Epoch: 15	Learning Rate :5.45954665290933e-05	Train Loss: 0.6933718919754028	Val Loss: 0.38277289271354675
Epoch: 16	Learning Rate :6.194520471394327e-05	Train Loss: 0.68377685546875	Val Loss: 0.39555349946022034
Epoch: 17	Learning Rate :6.972733321576315e-05	Train Loss: 0.6766504645347595	Val Loss: 0.36443066596984863
Epoch: 18	Learning Rate :7.793417141328178e-05	Train Loss: 0.6697805523872375	Val Loss: 0.357470840215683
Epoch: 19	Learning Rate :8.65576195152901e-05	Train Loss: 0.6585530638694763	Val Loss: 0.3708842098712921
Epoch: 20	Learning Rate :9.558916655478134e-05	Train Loss: 0.6467291116714478	Val Loss: 0.34974655508995056
Epoch: 21	Learning Rate :0.00010501989878890412	Train Loss: 0.6340920329093933	Val Loss: 0.3413439989089966
Epoch: 22	Learning Rate :0.00011484050849643762	Train Loss: 0.6257208585739136	Val Loss: 0.3307197391986847
Epoch: 23	Learning Rate :0.00012504130316410666	Train Loss: 0.6094789505004883	Val Loss: 0.338970422744751
Epoch: 24	Learning Rate :0.00013561221505266905	Train Loss: 0.5970243811607361	Val Loss: 0.3199174404144287
Epoch: 25	Learning Rate :0.0001465428111333348	Train Loss: 0.5792675018310547	Val Loss: 0.3126010000705719
Epoch: 26	Learning Rate :0.0001578223033847112	Train Loss: 0.5672038793563843	Val Loss: 0.30297812819480896
Epoch: 27	Learning Rate :0.0001694395594401078	Train Loss: 0.5466029047966003	Val Loss: 0.2873556315898895
Epoch: 28	Learning Rate :0.00018138311357469763	Train Loss: 0.5270864963531494	Val Loss: 0.2947489023208618
Epoch: 29	Learning Rate :0.00019364117802168706	Train Loss: 0.5113376379013062	Val Loss: 0.30370694398880005
Epoch: 30	Learning Rate :0.00020620165460632773	Train Loss: 0.4931038022041321	Val Loss: 0.26471197605133057
Epoch: 31	Learning Rate :0.00021905214668628537	Train Loss: 0.4787084460258484	Val Loss: 0.2758198082447052
Epoch: 32	Learning Rate :0.0002321799713865876	Train Loss: 0.4580915868282318	Val Loss: 0.24565477669239044
Epoch: 33	Learning Rate :0.00024557217211706626	Train Loss: 0.4501456618309021	Val Loss: 0.2644488215446472
Epoch: 34	Learning Rate :0.0002592155313599464	Train Loss: 0.4371226131916046	Val Loss: 0.23643524944782257
Epoch: 35	Learning Rate :0.00027309658371496093	Train Loss: 0.42238879203796387	Val Loss: 0.2338620275259018
Epoch: 36	Learning Rate :0.0002872016291891121	Train Loss: 0.4151933193206787	Val Loss: 0.22222964465618134
Epoch: 37	Learning Rate :0.00030151674671796734	Train Loss: 0.4097811281681061	Val Loss: 0.2235485315322876
Epoch: 38	Learning Rate :0.0003160278079051422	Train Loss: 0.40788522362709045	Val Loss: 0.22690393030643463
