Using prepared data.
Number of Model Parameters: 29139
DistributedDataParallel(
  (module): ConvCNP_LTO(
    (encoder): SetConvEncoder2D(
      (cnn): Sequential(
        (0): Conv2d(2, 16, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
        (1): ReLU()
        (2): Conv2d(16, 16, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
        (3): ReLU()
        (4): Conv2d(16, 8, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
      )
    )
    (operator): CNNLatentOperator(
      (conv_in): Conv2d(8, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (conv_mid): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (conv_out): Conv2d(32, 8, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    )
    (decoder): ConvCNPDecoder2D(
      (mlp): Sequential(
        (0): Linear(in_features=8, out_features=64, bias=True)
        (1): ReLU()
        (2): Linear(in_features=64, out_features=64, bias=True)
        (3): ReLU()
        (4): Linear(in_features=64, out_features=1, bias=True)
      )
    )
  )
)
Start Training...
Epoch: 1	Learning Rate :3.467144177547992e-07	Train Loss: 0.9098345041275024	Val Loss: 0.49960818886756897
Epoch: 2	Learning Rate :1.0866141746533782e-06	Train Loss: 0.8850780725479126	Val Loss: 0.4744126498699188
Epoch: 3	Learning Rate :2.318969021920282e-06	Train Loss: 0.8352891206741333	Val Loss: 0.44838762283325195
Epoch: 4	Learning Rate :4.042562679093097e-06	Train Loss: 0.8008714914321899	Val Loss: 0.4347552955150604
Epoch: 5	Learning Rate :6.255694034437926e-06	Train Loss: 0.7807823419570923	Val Loss: 0.42572030425071716
Epoch: 6	Learning Rate :8.956178823873746e-06	Train Loss: 0.7662057280540466	Val Loss: 0.4190342426300049
Epoch: 7	Learning Rate :1.2141351786744501e-05	Train Loss: 0.7550552487373352	Val Loss: 0.4123896658420563
Epoch: 8	Learning Rate :1.58080692963154e-05	Train Loss: 0.744947612285614	Val Loss: 0.406566321849823
Epoch: 9	Learning Rate :1.99527124623961e-05	Train Loss: 0.7354851961135864	Val Loss: 0.4013279676437378
Epoch: 10	Learning Rate :2.457119070302556e-05	Train Loss: 0.7274381518363953	Val Loss: 0.39732974767684937
Epoch: 11	Learning Rate :2.9658945781700684e-05	Train Loss: 0.718990683555603	Val Loss: 0.3920592963695526
Epoch: 12	Learning Rate :3.52109563061542e-05	Train Loss: 0.7121796607971191	Val Loss: 0.3871021270751953
Epoch: 13	Learning Rate :4.122174268425148e-05	Train Loss: 0.7059638500213623	Val Loss: 0.3837266266345978
Epoch: 14	Learning Rate :4.768537253210781e-05	Train Loss: 0.7003907561302185	Val Loss: 0.3801475763320923
Epoch: 15	Learning Rate :5.45954665290933e-05	Train Loss: 0.6944313645362854	Val Loss: 0.37755826115608215
Epoch: 16	Learning Rate :6.194520471394327e-05	Train Loss: 0.6864266395568848	Val Loss: 0.372413694858551
Epoch: 17	Learning Rate :6.972733321576315e-05	Train Loss: 0.6780487895011902	Val Loss: 0.36862820386886597
Epoch: 18	Learning Rate :7.793417141328178e-05	Train Loss: 0.6716276407241821	Val Loss: 0.36385661363601685
Epoch: 19	Learning Rate :8.65576195152901e-05	Train Loss: 0.6626542210578918	Val Loss: 0.3607708215713501
Epoch: 20	Learning Rate :9.558916655478134e-05	Train Loss: 0.6518822908401489	Val Loss: 0.3578076660633087
Epoch: 21	Learning Rate :0.00010501989878890412	Train Loss: 0.6413341760635376	Val Loss: 0.34802040457725525
Epoch: 22	Learning Rate :0.00011484050849643762	Train Loss: 0.6308642625808716	Val Loss: 0.3385132849216461
Epoch: 23	Learning Rate :0.00012504130316410666	Train Loss: 0.617537796497345	Val Loss: 0.3331568241119385
Epoch: 24	Learning Rate :0.00013561221505266905	Train Loss: 0.6044147610664368	Val Loss: 0.32416772842407227
Epoch: 25	Learning Rate :0.0001465428111333348	Train Loss: 0.590325653553009	Val Loss: 0.31545254588127136
Epoch: 26	Learning Rate :0.0001578223033847112	Train Loss: 0.572606086730957	Val Loss: 0.3081772029399872
Epoch: 27	Learning Rate :0.0001694395594401078	Train Loss: 0.5544983148574829	Val Loss: 0.2963164746761322
Epoch: 28	Learning Rate :0.00018138311357469763	Train Loss: 0.5347403287887573	Val Loss: 0.29322466254234314
Epoch: 29	Learning Rate :0.00019364117802168706	Train Loss: 0.51607346534729	Val Loss: 0.2738061845302582
Epoch: 30	Learning Rate :0.00020620165460632773	Train Loss: 0.4958631992340088	Val Loss: 0.2635017931461334
Epoch: 31	Learning Rate :0.00021905214668628537	Train Loss: 0.4754523038864136	Val Loss: 0.2615090310573578
Epoch: 32	Learning Rate :0.0002321799713865876	Train Loss: 0.45938581228256226	Val Loss: 0.2494843304157257
Epoch: 33	Learning Rate :0.00024557217211706626	Train Loss: 0.45121335983276367	Val Loss: 0.24739201366901398
Epoch: 34	Learning Rate :0.0002592155313599464	Train Loss: 0.4374569356441498	Val Loss: 0.24052035808563232
Epoch: 35	Learning Rate :0.00027309658371496093	Train Loss: 0.42861321568489075	Val Loss: 0.24012570083141327
Epoch: 36	Learning Rate :0.0002872016291891121	Train Loss: 0.4208279550075531	Val Loss: 0.2279774248600006
Epoch: 37	Learning Rate :0.00030151674671796734	Train Loss: 0.4157281816005707	Val Loss: 0.22929143905639648
Epoch: 38	Learning Rate :0.0003160278079051422	Train Loss: 0.41504690051078796	Val Loss: 0.21859341859817505
Epoch: 39	Learning Rate :0.0003307204909664109	Train Loss: 0.4047551453113556	Val Loss: 0.2193128913640976
Epoch: 40	Learning Rate :0.00034558029486468286	Train Loss: 0.40418627858161926	Val Loss: 0.2327888160943985
Epoch: 41	Learning Rate :0.0003605925536218935	Train Loss: 0.40042462944984436	Val Loss: 0.21955418586730957
