Using prepared data.
Number of Model Parameters: 29139
DistributedDataParallel(
  (module): ConvCNP_LTO(
    (encoder): SetConvEncoder2D(
      (cnn): Sequential(
        (0): Conv2d(2, 16, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
        (1): ReLU()
        (2): Conv2d(16, 16, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
        (3): ReLU()
        (4): Conv2d(16, 8, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
      )
    )
    (operator): CNNLatentOperator(
      (conv_in): Conv2d(8, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (conv_mid): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (conv_out): Conv2d(32, 8, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    )
    (decoder): ConvCNPDecoder2D(
      (mlp): Sequential(
        (0): Linear(in_features=8, out_features=64, bias=True)
        (1): ReLU()
        (2): Linear(in_features=64, out_features=64, bias=True)
        (3): ReLU()
        (4): Linear(in_features=64, out_features=1, bias=True)
      )
    )
  )
)
Start Training...
Epoch: 1	Learning Rate :3.467144177547992e-07	Train Loss: 0.9541518688201904	Val Loss: 0.5005999207496643
Epoch: 2	Learning Rate :1.0866141746533782e-06	Train Loss: 0.9327536821365356	Val Loss: 0.47778433561325073
Epoch: 3	Learning Rate :2.318969021920282e-06	Train Loss: 0.8960287570953369	Val Loss: 0.4690307080745697
Epoch: 4	Learning Rate :4.042562679093097e-06	Train Loss: 0.8698546290397644	Val Loss: 0.4706554710865021
Epoch: 5	Learning Rate :6.255694034437926e-06	Train Loss: 0.8479914665222168	Val Loss: 0.47173410654067993
Epoch: 6	Learning Rate :8.956178823873746e-06	Train Loss: 0.8257355093955994	Val Loss: 0.47265687584877014
Epoch: 7	Learning Rate :1.2141351786744501e-05	Train Loss: 0.8162689805030823	Val Loss: 0.4437219202518463
Epoch: 8	Learning Rate :1.58080692963154e-05	Train Loss: 0.8132888078689575	Val Loss: 0.4394766390323639
Epoch: 9	Learning Rate :1.99527124623961e-05	Train Loss: 0.7904454469680786	Val Loss: 0.4434806704521179
Epoch: 10	Learning Rate :2.457119070302556e-05	Train Loss: 0.7953396439552307	Val Loss: 0.44871777296066284
Epoch: 11	Learning Rate :2.9658945781700684e-05	Train Loss: 0.7814475297927856	Val Loss: 0.40752512216567993
Epoch: 12	Learning Rate :3.52109563061542e-05	Train Loss: 0.7618893980979919	Val Loss: 0.4132368266582489
Epoch: 13	Learning Rate :4.122174268425148e-05	Train Loss: 0.7491040229797363	Val Loss: 0.4173843264579773
Epoch: 14	Learning Rate :4.768537253210781e-05	Train Loss: 0.7359750270843506	Val Loss: 0.3917563259601593
Epoch: 15	Learning Rate :5.45954665290933e-05	Train Loss: 0.7176926732063293	Val Loss: 0.3901461362838745
Epoch: 16	Learning Rate :6.194520471394327e-05	Train Loss: 0.7012847065925598	Val Loss: 0.3936448395252228
Epoch: 17	Learning Rate :6.972733321576315e-05	Train Loss: 0.6897687911987305	Val Loss: 0.38306885957717896
Epoch: 18	Learning Rate :7.793417141328178e-05	Train Loss: 0.6825209259986877	Val Loss: 0.366510272026062
Epoch: 19	Learning Rate :8.65576195152901e-05	Train Loss: 0.6679403185844421	Val Loss: 0.3752162456512451
Epoch: 20	Learning Rate :9.558916655478134e-05	Train Loss: 0.6571511626243591	Val Loss: 0.360636830329895
Epoch: 21	Learning Rate :0.00010501989878890412	Train Loss: 0.6484227180480957	Val Loss: 0.34637007117271423
Epoch: 22	Learning Rate :0.00011484050849643762	Train Loss: 0.6378617286682129	Val Loss: 0.3402981460094452
Epoch: 23	Learning Rate :0.00012504130316410666	Train Loss: 0.6225338578224182	Val Loss: 0.34789469838142395
Epoch: 24	Learning Rate :0.00013561221505266905	Train Loss: 0.6096346974372864	Val Loss: 0.3252258896827698
Epoch: 25	Learning Rate :0.0001465428111333348	Train Loss: 0.5983781218528748	Val Loss: 0.32705411314964294
Epoch: 26	Learning Rate :0.0001578223033847112	Train Loss: 0.5813932418823242	Val Loss: 0.30793771147727966
Epoch: 27	Learning Rate :0.0001694395594401078	Train Loss: 0.5640864372253418	Val Loss: 0.2966156601905823
Epoch: 28	Learning Rate :0.00018138311357469763	Train Loss: 0.5447426438331604	Val Loss: 0.2954367399215698
Epoch: 29	Learning Rate :0.00019364117802168706	Train Loss: 0.529489278793335	Val Loss: 0.2918991446495056
Epoch: 30	Learning Rate :0.00020620165460632773	Train Loss: 0.5066409707069397	Val Loss: 0.27369970083236694
Epoch: 31	Learning Rate :0.00021905214668628537	Train Loss: 0.49317625164985657	Val Loss: 0.2741807699203491
Epoch: 32	Learning Rate :0.0002321799713865876	Train Loss: 0.47263845801353455	Val Loss: 0.2539093494415283
Epoch: 33	Learning Rate :0.00024557217211706626	Train Loss: 0.46675875782966614	Val Loss: 0.265555202960968
Epoch: 34	Learning Rate :0.0002592155313599464	Train Loss: 0.4496992528438568	Val Loss: 0.2397640347480774
Epoch: 35	Learning Rate :0.00027309658371496093	Train Loss: 0.4398326277732849	Val Loss: 0.26157864928245544
Epoch: 36	Learning Rate :0.0002872016291891121	Train Loss: 0.43066203594207764	Val Loss: 0.23097825050354004
Epoch: 37	Learning Rate :0.00030151674671796734	Train Loss: 0.4267786145210266	Val Loss: 0.23844198882579803
Epoch: 38	Learning Rate :0.0003160278079051422	Train Loss: 0.426962673664093	Val Loss: 0.22546401619911194
Epoch: 39	Learning Rate :0.0003307204909664109	Train Loss: 0.41652044653892517	Val Loss: 0.2244834452867508
Epoch: 40	Learning Rate :0.00034558029486468286	Train Loss: 0.41152074933052063	Val Loss: 0.23037143051624298
Epoch: 41	Learning Rate :0.0003605925536218935	Train Loss: 0.4082513153553009	Val Loss: 0.2241939902305603
Epoch: 42	Learning Rate :0.0003757424507936846	Train Loss: 0.4024665653705597	Val Loss: 0.2300729602575302
Epoch: 43	Learning Rate :0.000391015034092588	Train Loss: 0.404681533575058	Val Loss: 0.21705695986747742
Epoch: 44	Learning Rate :0.0004063952301452821	Train Loss: 0.40073344111442566	Val Loss: 0.21860498189926147
Epoch: 45	Learning Rate :0.00042186785936935154	Train Loss: 0.39711806178092957	Val Loss: 0.215639129281044
Epoch: 46	Learning Rate :0.00043741765095487556	Train Loss: 0.39115336537361145	Val Loss: 0.22200492024421692
Epoch: 47	Learning Rate :0.00045302925793604804	Train Loss: 0.3973960876464844	Val Loss: 0.21482083201408386
Epoch: 48	Learning Rate :0.0004686872723379653	Train Loss: 0.39314746856689453	Val Loss: 0.21733924746513367
Epoch: 49	Learning Rate :0.0004843762403836245	Train Loss: 0.38765865564346313	Val Loss: 0.21114936470985413
Epoch: 50	Learning Rate :0.0005000806777461263	Train Loss: 0.38692912459373474	Val Loss: 0.21730183064937592
Epoch: 51	Learning Rate :0.0005157850848310312	Train Loss: 0.38600558042526245	Val Loss: 0.2186288982629776
Epoch: 52	Learning Rate :0.0005314739620737826	Train Loss: 0.38248294591903687	Val Loss: 0.2472025752067566
Epoch: 53	Learning Rate :0.0005471318252370995	Train Loss: 0.3855089843273163	Val Loss: 0.21436692774295807
Epoch: 54	Learning Rate :0.000562743220693245	Train Loss: 0.38011634349823	Val Loss: 0.22178906202316284
Epoch: 55	Learning Rate :0.0005782927406760811	Train Loss: 0.3795022964477539	Val Loss: 0.23326639831066132
Epoch: 56	Learning Rate :0.0005937650384878624	Train Loss: 0.37794581055641174	Val Loss: 0.22772492468357086
Epoch: 57	Learning Rate :0.0006091448436457566	Train Loss: 0.37381455302238464	Val Loss: 0.22790876030921936
Epoch: 58	Learning Rate :0.0006244169769531456	Train Loss: 0.3726978302001953	Val Loss: 0.24866126477718353
Epoch: 59	Learning Rate :0.0006395663654808288	Train Loss: 0.36641162633895874	Val Loss: 0.22506816685199738
Epoch: 60	Learning Rate :0.0006545780574433483	Train Loss: 0.3695441782474518	Val Loss: 0.20240725576877594
Epoch: 61	Learning Rate :0.0006694372369557471	Train Loss: 0.3625677227973938	Val Loss: 0.21344411373138428
Epoch: 62	Learning Rate :0.0006841292386562021	Train Loss: 0.3669338822364807	Val Loss: 0.21255208551883698
Epoch: 63	Learning Rate :0.0006986395621800966	Train Loss: 0.36490634083747864	Val Loss: 0.20040249824523926
Epoch: 64	Learning Rate :0.0007129538864712457	Train Loss: 0.36207422614097595	Val Loss: 0.1938045173883438
Epoch: 65	Learning Rate :0.0007270580839161567	Train Loss: 0.3617492914199829	Val Loss: 0.20346073806285858
Epoch: 66	Learning Rate :0.0007409382342873645	Train Loss: 0.3605724275112152	Val Loss: 0.21380870044231415
Epoch: 67	Learning Rate :0.0007545806384820898	Train Loss: 0.3537478446960449	Val Loss: 0.2354486733675003
Epoch: 68	Learning Rate :0.0007679718320426564	Train Loss: 0.3637809753417969	Val Loss: 0.259253591299057
Epoch: 69	Learning Rate :0.0007810985984453226	Train Loss: 0.3579825758934021	Val Loss: 0.24938830733299255
Epoch: 70	Learning Rate :0.0007939479821444135	Train Loss: 0.36042696237564087	Val Loss: 0.19887472689151764
Epoch: 71	Learning Rate :0.0008065073013588797	Train Loss: 0.3551108241081238	Val Loss: 0.2099621444940567
Epoch: 72	Learning Rate :0.000818764160588662	Train Loss: 0.350825697183609	Val Loss: 0.191887766122818
Epoch: 73	Learning Rate :0.000830706462848508	Train Loss: 0.35387927293777466	Val Loss: 0.19857481122016907
Epoch: 74	Learning Rate :0.0008423224216071698	Train Loss: 0.3492130935192108	Val Loss: 0.19626456499099731
Epoch: 75	Learning Rate :0.000853600572420196	Train Loss: 0.3523162603378296	Val Loss: 0.20073054730892181
Epoch: 76	Learning Rate :0.0008645297842448374	Train Loss: 0.34267571568489075	Val Loss: 0.20679178833961487
Epoch: 77	Learning Rate :0.0008750992704259012	Train Loss: 0.34252163767814636	Val Loss: 0.19527213275432587
Epoch: 78	Learning Rate :0.0008852985993417088	Train Loss: 0.3447456955909729	Val Loss: 0.26978206634521484
Epoch: 79	Learning Rate :0.0008951177046996509	Train Loss: 0.3356809616088867	Val Loss: 0.20394150912761688
Epoch: 80	Learning Rate :0.0009045468954711797	Train Loss: 0.3403363823890686	Val Loss: 0.18691757321357727
Epoch: 81	Learning Rate :0.0009135768654564311	Train Loss: 0.33993688225746155	Val Loss: 0.19495801627635956
Epoch: 82	Learning Rate :0.0009221987024690371	Train Loss: 0.3447341322898865	Val Loss: 0.18865682184696198
Epoch: 83	Learning Rate :0.0009304038971320659	Train Loss: 0.34083250164985657	Val Loss: 0.21426789462566376
Epoch: 84	Learning Rate :0.0009381843512764055	Train Loss: 0.33687883615493774	Val Loss: 0.23413345217704773
Epoch: 85	Learning Rate :0.0009455323859333024	Train Loss: 0.333689421415329	Val Loss: 0.2524404227733612
Epoch: 86	Learning Rate :0.0009524407489131694	Train Loss: 0.33298614621162415	Val Loss: 0.18346765637397766
Epoch: 87	Learning Rate :0.0009589026219631807	Train Loss: 0.32954028248786926	Val Loss: 0.20479938387870789
Epoch: 88	Learning Rate :0.0009649116274965889	Train Loss: 0.33932778239250183	Val Loss: 0.1804957389831543
Epoch: 89	Learning Rate :0.0009704618348871255	Train Loss: 0.3269515037536621	Val Loss: 0.1706043928861618
Epoch: 90	Learning Rate :0.0009755477663222703	Train Loss: 0.32411062717437744	Val Loss: 0.17124266922473907
Epoch: 91	Learning Rate :0.000980164402209613	Train Loss: 0.3201817572116852	Val Loss: 0.17511089146137238
Epoch: 92	Learning Rate :0.0009843071861309718	Train Loss: 0.3139230012893677	Val Loss: 0.17144890129566193
Epoch: 93	Learning Rate :0.0009879720293393803	Train Loss: 0.3127707540988922	Val Loss: 0.17372219264507294
Epoch: 94	Learning Rate :0.0009911553147945007	Train Loss: 0.30411460995674133	Val Loss: 0.17124108970165253
Epoch: 95	Learning Rate :0.0009938539007324863	Train Loss: 0.30117037892341614	Val Loss: 0.1644791066646576
Epoch: 96	Learning Rate :0.0009960651237667648	Train Loss: 0.30015936493873596	Val Loss: 0.15656475722789764
Epoch: 97	Learning Rate :0.0009977868015166845	Train Loss: 0.3002221882343292	Val Loss: 0.194289892911911
Epoch: 98	Learning Rate :0.0009990172347614284	Train Loss: 0.29684266448020935	Val Loss: 0.15365777909755707
Epoch: 99	Learning Rate :0.0009997552091170721	Train Loss: 0.28554612398147583	Val Loss: 0.16891904175281525
Epoch: 100	Learning Rate :0.0009999999997646902	Train Loss: 0.2876259982585907	Val Loss: 0.149760439991951
Epoch: 101	Learning Rate :0.0009999844581099172	Train Loss: 0.28728094696998596	Val Loss: 0.17086955904960632
Epoch: 102	Learning Rate :0.000999938075058939	Train Loss: 0.28651928901672363	Val Loss: 0.16012369096279144
Epoch: 103	Learning Rate :0.0009998608534728811	Train Loss: 0.29050078988075256	Val Loss: 0.16010494530200958
Epoch: 104	Learning Rate :0.0009997527981151345	Train Loss: 0.28510764241218567	Val Loss: 0.16912336647510529
Epoch: 105	Learning Rate :0.000999613915651063	Train Loss: 0.28126123547554016	Val Loss: 0.15426845848560333
